gene;004 Control R_2016_10_19;008 Control R_2016_10_20;
Gcc2;0.0000122599817725281;0.0000142110698711326;
Lims1;2.72673128344225E-07;1.46229347797212E-07;
Ranbp2;0.0000635580959614612;0.0000628526616804111;
Ccdc138;5.84520467943953E-07;1.54881971927224E-07;
Edar;3.69062306038686E-07;6.48946809750941E-08;
Sh3rf3;7.89669626887245E-07;3.02279423981988E-06;
Sept10;4.66482384029345E-07;5.46845845016793E-07;
Sowahc;0.0000199721468883812;0.0000156201497107051;
Snrpd2l;0.0000168129529306841;0.0000152610658093096;
P4ha1;6.14158851459629E-06;8.05602569624818E-06;
Pla2g12b;0;0;
Oit3;0;0;
Mcu;3.28341744338887E-06;5.03236619401529E-06;
Micu1;0.000022529295073099;0.0000167082171950542;
Dnajb12;5.06635950566236E-06;3.67087578715782E-06;
Ddit4;0.0000309331942877006;0.0000278938970391279;
Anapc16;1.88860934263372E-06;2.26698752206328E-06;
Ascc1;0.0000014520230671941;1.46791768365662E-06;
Spock2;0.0000100213817793353;0.0000314263308402055;
Chst3;4.75863576724742E-06;4.64083495213223E-06;
Psap;0.000254762782048238;0.000201746747371405;
Cdh23;6.45859035567701E-07;6.26017355806408E-07;
Vsir;0.0000347428863322983;0.0000178304625447168;
LOC100361018;0.0000068673423231193;3.23175511255968E-07;
Slc29a3;0.0000193396895566641;7.18297592152992E-06;
Unc5b;5.25759151060698E-06;4.19046586616507E-06;
Pcbd1;2.88136632787186E-07;5.20887972626755E-07;
Sgpl1;0.0000111223832956742;5.60819832986763E-06;
Tbata;0;0;
Adamts14;2.57725074049362E-07;1.2416515626568E-07;
Prf1;0;0;
Pald1;9.66469027685108E-07;4.12730171001598E-07;
Nodal;0;0;
Eif4ebp2;8.99151238343414E-06;6.65992479287066E-06;
Lrrc20;9.72654429462292E-07;1.73831218771952E-06;
Npffr1;0;2.16315603250313E-08;
Ppa1;2.05149158943292E-06;0.0000028276775656881;
Sar1a;7.21733297367833E-06;7.92623633429799E-06;
Tysnd1;4.42204682053895E-06;3.15950570107408E-06;
Aifm2;2.03705898528615E-06;1.33596516567393E-06;
H2afy2;2.71848408107267E-06;1.91958466324328E-06;
LOC108353239;1.81953902278849E-07;0;
Col13a1;0;5.88378440840853E-08;
RGD1305587;9.56160024723133E-07;2.33534325269038E-06;
Neurog3;0;0;
Tspan15;2.42777019754499E-06;2.08052347206151E-06;
Tacr2;3.04631037526346E-07;1.55747234340225E-08;
Hk1;0.0000456008437019979;0.0000289322119347294;
LOC100364027;1.95871056277515E-08;0;
Supv3l1;0.0000036761904562401;2.11686449340757E-06;
Vps26a;1.44326041467642E-06;2.06624664224699E-06;
Srgn;1.00203508790392E-06;3.84609142579057E-07;
Kif1bp;0.0000280090455975365;0.0000323755237072679;
Ddx21;1.70304728931818E-06;1.39177459131251E-06;
Ddx50;1.20254519551432E-06;1.55444392495675E-06;
Stox1;4.17359984915536E-06;7.38501469496571E-07;
Ccar1;5.42769005947956E-06;3.12619309817353E-06;
Rsph4a;4.49627164186517E-06;7.57969873789099E-07;
Zufsp;1.22986405336355E-06;1.48911661277516E-06;
Kpna5;8.10287632811194E-07;2.06797716707299E-07;
Gprc6a;0;0;
Rfx6;0;0;
Vgll2;0;0;
Ros1;0;0;
LOC103694423;0;0;
Dcbld1;3.17723471288053E-06;3.08812155200147E-06;
Gopc;7.16991156005325E-07;1.14430954119415E-06;
Nepn;0;0;
Nus1;5.05450415225609E-06;7.82716378800935E-06;
Slc35f1;2.27725875430016E-06;7.22753693579948E-06;
LOC100911233;1.23553400499264E-06;1.04393910128601E-06;
LOC103689994;5.04625694988651E-06;8.72184512305265E-07;
LOC100911315;0;0;
Cep85l;7.25959988582243E-06;7.89811530587545E-06;
Pln;1.8968565450033E-07;0;
Mcm9;5.14676972876576E-06;1.87718680500622E-06;
Asf1a;7.67196000430141E-06;0.0000042782900010847;
Fam184a;4.19370240493122E-06;0.0000026935618916729;
Man1a1;0.0000035545442212888;1.99659301800039E-06;
RGD1559810;0;0;
Tbc1d32;2.69064977307534E-07;7.19898327617044E-07;
LOC679727;0;0;
Msl3l2;4.17875435063635E-06;3.45931912717901E-06;
Gja1;0.000971844657279629;0.000518154176032878;
Hsf2;4.02515020650293E-06;5.88940861409304E-06;
Serinc1;0.0000347748442414804;0.0000671755126957654;
Hs3st5;0;4.35226993739631E-07;
Pkib;4.28854523218138E-07;2.92891326800924E-07;
Fabp7;0.000154886068651741;0.000153294648030573;
Smpdl3a;0.0000152253664745401;0.0000117022415046354;
LOC108348236;0;0;
Tspyl1;0.0000216550916219236;0.0000331694019711966;
Tspyl4;0.0000366706698861875;0.0000974402287465168;
Nt5dc1;5.05656595284848E-07;3.05005000582942E-07;
Col10a1;4.98440293211466E-07;4.91036419378212E-07;
Frk;7.37609161929274E-07;0;
Marcks;7.16836520960895E-06;5.69645509599376E-06;
Hdac2;8.69048949694449E-07;1.36451882530297E-06;
Rfpl4b;0;0;
Lama4;2.27571240385586E-06;2.91593433181422E-07;
Fam229b;1.85871323404399E-06;1.22131789595127E-06;
Tube1;2.22313648874979E-06;1.19233160511572E-06;
Wisp3;0;0;
Fyn;0.0000215715886979316;0.0000266911822850562;
Traf3ip2;1.89943379574379E-06;1.33034095998942E-06;
Rev3l;0.0000215757122991163;0.000038635697265332;
